121,"""민주당에  찰싹  붙어  기생해야  유지되는  기생정당인   주제에   메아리  없는  소리만  질러대고   자빠졌네?   대한민국에  하나도  도움이  않되는  정당!"""
122,"""이젠 돕는일 없다 ~~그렇치 지금까는지는 정책이 아닌 나라의 미래가 아닌 그냥 민주당꼬봉 이었지"""
123,"""빨갱이들 활개치다 가랭이 찢어졌네 ㅋㅋㅋ"""
124,"""그러니까.이전에는 무조건협조하고.비판할거도 안하고. 그랫다는거네.지들끼리. 거래를 햇다는거네..ㅋㅋ정의당 이것들도 똑같은것들이네. 온갖 깨끗한척은 다해놓고..ㅋㅋ"""
125,"""정체성이 있어야지 2중대를 하면 어느곳에서든 당한다."""
126,"""심상정은 내년 선거이후에 안봣으면좋겠습니딘 노동자를위한다는 거짓으로 자기들이속만챙기는 정의당 꼭 사라지길..."""
127,"""지금부터라도바른말하고,아부하지말고잘하셔.본래부터두당은기생충들이잖아.남에게발부터사는당아닌가"""
128,"""앞으로 돕는 일 없다 -&gt; 지금까지는 도와왔었다 -&gt; 민주당 2중대 내지 협력 정당 인정 -&gt; 선거법 패스트트랙은 민주당과 정의당의 국회과반을 차지하여 국가를 맘대로 주무르고자 했던 계략이었다는 걸 시인하는 꼴"""
129,"""듣던중 반가운 소리네 그동안 야당도 아닌것이 완전한 여당도 아닌것이 더불당과 짜고치는 고스톱 양심이 있어라 6석으로 정계특위워원장 바둑이가 웃는다."""
130,"""민주당 2중대인 정의당과 평화당이 명분상 정의 평화 등을 내세우고 있지만, 빌어붙어 사는 기생충에 불과하다. 요즘 영화\n기생충을 보면, 땀 한방울 안 흘리고 남 등쳐먹는 자들이 바로 정의당, 평화당이다. 문비어천가를 불러댈 때 미리 알아봤다.\n이 기생충들아!"""
131,"""정의당이 말하는 정의는 뭔가요 나한테 이익이면 정의요 아니면 불의인가요?"""
132,"""민주당에 달라붙어 당리당략을위해 이제것 2중대 노릇을 했다는것을 실토하는구나.ㅋㅋㅋ"""
133,"""정의당 나름 노동자 환경이나 그런거에 괜찮은 정당인줄알고 비례대표 던져주고 했는데 하는짓이라고는 민주당2중대 짓거리. 꼴페미지지에 최근 민주노총 위법사건에도 편들어주고 정상적인 정당이 아님"""
134,"""지금껏 민주당2중대 노릇했다는걸 인정하네 ㅋㅋㅋ 다음총선에서 꼭 없어지길 정의당 ㅋㅋㅋㅋㅋ"""
135,"""정으당? ㅋㅋㅋ 당신들이 대한민국 사회를 위해서 기여한 바가 뭔가요? 시대 착오적인 운동권 종자들은 이제 물러날 때가 되었지. 복창해라. 동성애는 사악한 짓입니다. 당신 아들 딸들이 그러고 다니면 좋겠냐? 혈세로 지급되는 세비 아깝다. 이것들아."""
136,"""진보? ㅈ 까고 있네 진보를 포장한 민주당 2중대인거 뻔히 아는데 뭔 개소리야 진보정당이라면서 나라 발전에는 관심없고 맨날 지들편만 대변해 강성 개 쓰레기 노조 도와주는 니들도 똑같은 족속이야 그리고 뭐? 정의당 ㅋㅋ 정의있는 집단이 뇌물쳐먹고 수치심에 자살하냐? 또 그런 인물 좋다고 포장하고 야 패스트트랙 발의할때 국민은 알 필요 없다매 의석수도 ㅈ 만한것들이 존나 나대네 없애버려야돼"""
137,"""비례대표없애고 국회 250석가자"""
138,"""너들은 진심 북으로 꺼져라  , 민주노총 , 전교조  간부들 이끌고 개정은 위원장님 장군님 품으로 꺼져라"""
139,"""오~~~ 이제 2중대 탈퇴하겠다는거냐? 그래봤자 조금만 구슬리면 니들은 영원한 민주당의 똥개지 민주당이 개 취급해주는데는 다 이유가 있는거야 개는 개 대접을 받고 살아야지 사람취급해달라면 쓰나"""
140,"""그럼 너희 정권일떄 9년동안 핵만들구 미사일 만들동안 뭐했냐?? 돈을 준건 민주당일지 몰라두 시간을 준건 니들이다 그책임에서 니들두 자유로울수 없단말이지"""
141,"""자한당 보더 안해도 뻔해요 나라 잘되고 평화로 가는길 반대하는 인간들 일본애들과 똑 같죠"""
142,"""토착 왜구 년놈들! 드런 주둥이로 하루종일 짖어대는구나!"""
143,"""우리가 뭐 좀 독자적으로 해볼라 하면, 한미 공조 파탄, 역대 최악의 동맹관계라고 짖어대고, 뒤로 빠져서 미국과 공조해서 조력자 역할을 하면 통미봉남에 휘말려든 쓸모없는 객 신세?\n자유당 새끼들 참 살기 편하고 좋아! 생각하는 뇌는 필요하지도 않고 나불댈 주둥이만 있으면 뭐든 다 짖어댈 수 있으니!"""
144,"""잘한일은 잘했다고 좀 말해라...\n그게 정치 아니니?"""
145,"""국익과 한반도 평화를 위해 노력하는 자국의 대통령을 비난하기 바쁘고 그거외에는 국익을 위해 그어떤 대안도 대책도 없는 것들 한심해서 못봐주겠다. 아무리 봐도 저런 것들에게 국가운영을 맡길 수가 없다."""
146,"""나베야, 문재인은 감독이기 때문에 트럼프와 김정은이 주연을 맡도록 배역을 맡겼단다."""
147,"""간섭하면 뻘짓한다고하고 뒤로빠지니 객이라고하네~~말할때 생각점하고해라  무조건 반대만하지말고"""
148,"""애는 남북관계가 잘되도 욕하고 못하면 더욕하고  남북관계가 항상 긴장관계가 유지되어야 살수있는 당이라\n국가 전체적으로는 없어져야 할 여자임"""
149,"""나베야! 다른것도 아니고 한반도에서 전쟁 막자고 하는 일인데, 객이면 어떻고 운전수는 뭔 대수냐? 너희 같은 국개들은 전쟁 발발전 이미 일가친적 하고 가진 재산 도피 시킨후 국민이 죽던 말던 유흥지에서 물놀이 카지노 놀이 하다가 올 놈들 아닌가? 안보 관련 미친 소리는 그만하고 아베OOO가 반도체 관련 어깃장 부려 울나라 괴롭힌다는거에 대해선 밤낮으로 습관처럼 지껄어대던  규탄 도 비난도 안하는지  토착이 아니라 진짜 오리지널 왜구인듯 싶구나"""
150,"""나베가 바라는 남북관계: 분기마다 북한이 미사일 쏴주고 가끔씩 휴전선서 총쏴주고 배가 내려와 대포 쏴주고 어뢰쏴주고 병사들 총맞아 다치고 지뢰밟아 죽고 배 폭발해 수장당해 죽고 그래서 죽어라 북진통일, 안보제일만 외쳐대면서 틀딱들 표 모으길 바라는 것이다."""
